Start,End,Sleep Quality,Regularity,Heart rate (bpm),Steps,Alarm mode,Air Pressure (Pa),City,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Did snore,Snore time,Weather temperature (°C),Weather type
2017-09-02 16:54:10,2017-09-02 23:20:17,68%,86%,0,18108,No alarm,99.1,Gianyar,61.8,23166.4,23011.9,154.4,,,FALSE,0.0,0.0,No weather
2017-09-03 18:27:48,2017-09-04 02:30:13,85%,81%,0,19429,No alarm,101.0,Lombok Utara,63.5,28945.7,28752.8,193.0,,,FALSE,0.0,0.0,No weather
2017-09-04 17:38:36,2017-09-05 01:55:36,0%,80%,0,10471,No alarm,101.0,Lombok Utara,0.0,0.0,25346.6,596.4,,,TRUE,0.0,0.0,No weather
2017-09-05 19:27:30,2017-09-06 02:04:20,71%,78%,0,9338,No alarm,100.9,Lombok Utara,60.2,23809.7,22143.0,158.7,,,FALSE,0.0,0.0,No weather
2017-09-07 17:10:40,2017-09-08 01:21:09,77%,79%,0,11535,No alarm,101.0,Lombok Utara,114.3,29428.8,25406.9,196.2,,,FALSE,0.0,0.0,No weather
2017-09-08 16:41:49,2017-09-09 00:20:59,79%,81%,0,10348,No alarm,101.0,Lombok Tengah,76.0,27549.8,25896.8,1653.0,,,FALSE,0.0,0.0,No weather
2017-09-09 16:37:29,2017-09-10 02:15:33,96%,86%,0,10836,No alarm,100.9,Lombok Tengah,60.3,34684.1,30753.2,2427.9,,,FALSE,0.0,0.0,No weather
2017-09-11 16:04:06,2017-09-12 00:51:55,93%,84%,0,8858,No alarm,101.0,Badung,65.9,31668.5,26812.7,4855.8,,,FALSE,0.0,0.0,No weather
2017-09-12 18:04:59,2017-09-13 04:47:27,86%,67%,0,8747,No alarm,101.0,Badung,110.4,38547.7,36106.4,257.0,,,FALSE,0.0,0.0,No weather
2017-09-13 18:00:53,2017-09-14 01:16:55,78%,60%,0,6327,No alarm,101.0,Badung,57.4,26162.1,24069.1,174.4,,,FALSE,0.0,0.0,No weather
2017-09-16 23:21:50,2017-09-17 08:40:24,61%,-6%,0,821,No alarm,100.6,Bangor,240.0,33514.1,28598.7,223.4,,,FALSE,0.0,0.0,No weather
2017-09-17 23:51:16,2017-09-18 08:17:03,93%,93%,0,508,No alarm,99.7,Birmingham,43.5,30346.6,24985.3,202.3,,,FALSE,0.0,0.0,No weather
2017-09-19 00:49:07,2017-09-19 09:48:40,100%,86%,0,7909,No alarm,100.0,Birmingham,39.8,32372.4,29674.7,215.8,,,FALSE,0.0,0.0,No weather
2017-09-20 00:32:28,2017-09-20 06:10:41,63%,80%,0,2124,No alarm,101.0,Bangor,36.0,20293.0,17519.6,135.3,,,FALSE,0.0,0.0,No weather
2017-09-20 23:24:03,2017-09-21 09:00:09,91%,71%,0,4589,No alarm,101.1,Hull,86.6,34565.7,32952.6,230.4,,,FALSE,0.0,0.0,No weather
2017-09-22 00:14:34,2017-09-22 08:00:12,75%,73%,0,5290,No alarm,101.6,Hull,104.9,27937.6,22443.2,2421.3,,,FALSE,0.0,0.0,No weather
2017-09-23 00:46:38,2017-09-23 09:31:28,95%,78%,0,7341,No alarm,100.0,Birmingham,53.3,31490.7,26872.1,209.9,,,FALSE,0.0,0.0,No weather
2017-09-23 23:51:48,2017-09-24 08:50:31,97%,85%,0,356,No alarm,100.0,Birmingham,54.7,32323.4,24027.1,1077.4,,,FALSE,0.0,0.0,No weather
2017-09-25 00:02:34,2017-09-25 04:56:09,50%,79%,0,2296,No alarm,99.9,Birmingham,82.0,17615.2,14209.6,1585.4,,,FALSE,0.0,0.0,No weather
2017-09-25 22:25:53,2017-09-26 06:38:34,86%,75%,0,6935,No alarm,101.2,Cologne,69.8,29561.8,27886.6,1675.2,,,FALSE,0.0,0.0,No weather
2017-09-26 23:13:46,2017-09-27 06:45:48,84%,77%,0,6667,No alarm,101.4,Cologne,36.1,27122.3,21969.1,2350.6,,,FALSE,0.0,0.0,No weather
2017-09-27 23:25:34,2017-09-28 08:53:33,0%,82%,0,9808,No alarm,101.5,Hull,0.0,0.0,28853.9,681.6,,,TRUE,0.0,0.0,No weather
2017-09-28 23:34:13,2017-09-29 08:29:18,96%,89%,0,10599,No alarm,101.5,Hull,57.3,32105.1,28573.5,1819.3,,,FALSE,0.0,0.0,No weather
2017-09-30 01:50:02,2017-09-30 10:41:38,93%,80%,0,11322,No alarm,100.6,Bangor,65.5,31895.9,30088.5,212.6,,,FALSE,0.0,0.0,No weather
2017-10-01 01:41:50,2017-10-01 09:59:41,94%,84%,0,1364,No alarm,100.0,Bangor,30.1,29870.8,29671.6,199.1,,,FALSE,0.0,0.0,No weather
2017-10-02 00:48:33,2017-10-02 09:29:52,86%,81%,0,1234,No alarm,100.1,Hull,94.4,31278.7,28567.9,2710.8,,,FALSE,0.0,0.0,No weather
2017-10-03 01:35:29,2017-10-03 10:11:56,89%,90%,0,7705,No alarm,101.0,Hull,73.3,30986.7,24996.0,1342.8,,,FALSE,0.0,0.0,No weather
2017-10-04 00:51:42,2017-10-04 09:09:42,95%,87%,0,1751,No alarm,101.8,Hull,23.9,29879.4,24401.5,2191.2,,,FALSE,0.0,0.0,No weather
2017-10-05 01:58:16,2017-10-05 08:32:17,77%,86%,0,6057,No alarm,100.2,Hull,15.9,23640.4,20488.3,1103.2,,,FALSE,0.0,0.0,No weather
2017-10-06 02:07:56,2017-10-06 09:25:56,75%,87%,0,4328,No alarm,101.9,Hull,77.2,26279.6,20498.1,1489.2,,,FALSE,0.0,0.0,No weather
2017-10-06 23:09:50,2017-10-07 08:24:53,100%,81%,0,4958,No alarm,101.9,Hull,32.8,33303.0,27197.5,3108.3,,,FALSE,0.0,0.0,No weather
2017-10-08 06:13:16,2017-10-08 11:03:37,29%,0%,0,1309,No alarm,99.9,Birmingham,270.7,17421.0,12833.4,2671.2,,,FALSE,0.0,0.0,No weather
2017-10-09 01:22:20,2017-10-09 08:34:07,79%,74%,0,5713,No alarm,101.7,Hull,46.7,25906.9,21761.8,172.7,,,FALSE,0.0,0.0,No weather
2017-10-10 00:06:11,2017-10-10 08:51:21,93%,84%,0,4685,No alarm,101.0,Hull,59.7,31510.5,27519.2,840.3,,,FALSE,0.0,0.0,No weather
2017-10-11 02:04:28,2017-10-11 07:48:34,66%,81%,0,4182,No alarm,99.8,Bangor,21.4,20646.2,16585.8,1101.1,,,FALSE,0.0,0.0,No weather
2017-10-12 01:23:33,2017-10-12 08:26:14,82%,84%,0,1428,No alarm,100.7,Hull,15.3,25360.4,19781.1,1944.3,,,FALSE,0.0,0.0,No weather
2017-10-13 01:10:56,2017-10-13 08:55:03,84%,86%,0,8861,No alarm,101.4,Hull,52.2,27846.6,23298.3,185.6,,,FALSE,0.0,0.0,No weather
2017-10-14 01:39:54,2017-10-14 11:39:03,98%,86%,0,4327,No alarm,101.5,Hull,50.5,35949.4,26482.7,1438.0,,,FALSE,0.0,0.0,No weather
2017-10-15 02:59:35,2017-10-15 11:07:14,91%,84%,0,522,No alarm,101.6,Hull,35.0,29258.9,26820.6,195.1,,,FALSE,0.0,0.0,No weather
2017-10-16 01:00:30,2017-10-16 08:58:34,72%,74%,0,2734,No alarm,101.3,Hull,130.3,28684.6,22852.1,1816.7,,,FALSE,0.0,0.0,No weather
2017-10-17 00:31:56,2017-10-17 09:19:39,79%,81%,0,6534,No alarm,100.8,Hull,136.4,31663.0,25436.0,1266.5,,,FALSE,0.0,0.0,No weather
2017-10-18 01:14:36,2017-10-18 09:24:47,91%,84%,0,4129,No alarm,101.4,Hull,38.0,29410.5,26371.4,3039.1,,,FALSE,0.0,0.0,No weather
2017-10-19 01:46:36,2017-10-19 08:46:56,78%,92%,0,4565,No alarm,100.6,Hull,36.5,25220.1,21941.5,2353.9,,,FALSE,0.0,0.0,No weather
2017-10-20 02:13:11,2017-10-20 08:25:47,61%,92%,0,4425,No alarm,99.4,Hull,95.8,22356.4,17214.4,1043.3,,,FALSE,0.0,0.0,No weather
2017-10-22 00:57:27,2017-10-22 11:01:40,100%,81%,0,10507,No alarm,99.5,Hull,38.5,36253.4,29848.6,1571.0,,,FALSE,0.0,0.0,No weather
2017-10-23 01:20:25,2017-10-23 08:42:58,81%,73%,0,176,No alarm,101.2,Hull,42.1,26552.8,21507.8,2124.2,,,FALSE,0.0,0.0,No weather
2017-10-24 01:06:40,2017-10-24 08:03:37,65%,85%,0,5146,No alarm,101.2,Hull,118.4,25016.6,20180.1,4836.5,,,FALSE,0.0,0.0,No weather
2017-10-25 00:45:09,2017-10-25 08:14:09,0%,89%,0,3990,No alarm,100.8,Hull,0.0,0.0,22719.0,538.8,,,TRUE,0.0,0.0,No weather
2017-10-26 00:43:09,2017-10-26 08:05:19,82%,96%,0,6529,No alarm,102.0,Hull,38.0,26530.1,22815.9,1680.2,,,FALSE,0.0,0.0,No weather
2017-10-27 03:14:36,2017-10-27 09:37:17,67%,87%,0,5438,No alarm,102.6,Hull,63.4,22961.8,15767.1,2525.8,,,FALSE,0.0,0.0,No weather
2017-10-28 02:06:35,2017-10-28 10:45:01,81%,82%,0,7609,No alarm,102.6,Hull,117.6,31105.9,25817.9,207.4,,,FALSE,0.0,0.0,No weather
2017-10-29 22:25:01,2017-10-30 08:20:31,100%,69%,0,9437,No alarm,102.7,Hull,41.2,35730.0,31323.3,238.2,,,FALSE,0.0,0.0,No weather
2017-10-31 00:39:48,2017-10-31 07:58:23,78%,72%,0,3947,No alarm,102.4,Hull,56.0,26315.1,22192.4,1666.6,,,FALSE,0.0,0.0,No weather
2017-11-01 00:15:04,2017-11-01 09:54:03,69%,84%,0,3715,No alarm,101.7,Hull,194.2,34739.3,29181.0,231.6,,,FALSE,0.0,0.0,No weather
2017-11-02 01:18:54,2017-11-02 08:09:51,79%,81%,0,5123,No alarm,101.1,Hull,17.4,24657.1,19890.0,2136.9,,,FALSE,0.0,0.0,No weather
2017-11-03 00:36:01,2017-11-03 08:02:58,81%,83%,0,4216,No alarm,101.4,Hull,51.4,26817.3,21990.2,2056.0,,,FALSE,0.0,0.0,No weather
2017-11-04 04:01:20,2017-11-04 12:25:50,68%,68%,0,6073,No alarm,100.1,Hull,176.5,30270.1,27142.2,201.8,,,FALSE,0.0,0.0,No weather
2017-11-05 01:55:47,2017-11-05 09:05:53,82%,61%,0,574,No alarm,100.4,Hull,26.2,25806.2,21419.2,172.0,,,FALSE,0.0,0.0,No weather
2017-11-06 02:49:41,2017-11-06 11:16:49,82%,55%,0,7392,No alarm,102.0,Hull,101.3,30427.8,25356.5,2231.4,,,FALSE,0.0,0.0,No weather
2017-11-07 02:53:51,2017-11-07 10:21:43,84%,74%,0,3921,No alarm,100.3,Bangor,33.6,26871.1,23198.8,1522.7,,,FALSE,0.0,0.0,No weather
2017-11-08 02:13:59,2017-11-08 11:06:13,100%,85%,0,676,No alarm,101.4,Bangor,22.6,31934.0,28953.5,1383.8,,,FALSE,0.0,0.0,No weather
2017-11-09 03:50:53,2017-11-09 11:59:05,86%,86%,0,379,No alarm,101.4,Bangor,78.3,29292.4,25093.8,195.3,,,FALSE,0.0,0.0,No weather
2017-11-10 02:44:24,2017-11-10 11:21:58,89%,84%,0,2412,No alarm,101.0,Bangor,28.0,31054.3,28155.9,2898.4,,,FALSE,0.0,0.0,No weather
2017-11-11 03:09:37,2017-11-11 11:05:55,81%,86%,0,2842,No alarm,100.2,Bangor,39.1,28578.5,26482.7,190.5,,,FALSE,0.0,0.0,No weather
2017-11-12 03:01:28,2017-11-12 12:02:01,86%,90%,0,639,No alarm,100.4,Bangor,60.5,32433.2,27892.6,1189.2,,,FALSE,0.0,0.0,No weather
2017-11-14 02:22:51,2017-11-14 09:02:08,75%,80%,0,6877,No alarm,101.6,Hull,15.7,23957.0,22120.3,1836.7,,,FALSE,0.0,0.0,No weather
2017-11-15 01:42:56,2017-11-15 10:41:03,81%,75%,0,4547,No alarm,101.9,Hull,90.5,32287.1,27444.0,1506.7,,,FALSE,0.0,0.0,No weather
2017-11-16 00:55:08,2017-11-16 09:26:43,93%,82%,0,4491,No alarm,101.7,Hull,29.4,30695.1,23430.6,1227.8,,,FALSE,0.0,0.0,No weather
2017-11-17 02:27:37,2017-11-17 10:19:49,82%,81%,0,5941,No alarm,102.2,Bangor,43.1,28331.3,22004.0,1699.9,,,FALSE,0.0,0.0,No weather
2017-11-18 02:20:57,2017-11-18 10:03:24,84%,87%,0,1262,No alarm,101.6,Bangor,32.9,27746.4,20809.8,2404.7,,,FALSE,0.0,0.0,No weather
2017-11-19 03:13:18,2017-11-19 12:11:40,100%,84%,0,7443,No alarm,101.8,Hull,28.7,32302.0,27887.4,1399.8,,,FALSE,0.0,0.0,No weather
2017-11-20 01:39:06,2017-11-20 09:08:38,83%,78%,0,1020,No alarm,101.4,Hull,27.6,26971.2,21756.7,2607.2,,,FALSE,0.0,0.0,No weather
2017-11-21 00:21:47,2017-11-21 09:33:24,82%,74%,0,3124,No alarm,100.7,Hull,66.0,33097.1,23719.6,3640.7,,,FALSE,0.0,0.0,No weather
2017-11-22 01:42:41,2017-11-22 08:44:15,78%,76%,0,4948,No alarm,99.3,Hull,29.1,25294.1,21837.3,1264.7,,,FALSE,0.0,0.0,No weather
2017-11-23 02:18:35,2017-11-23 08:09:14,61%,86%,0,5073,No alarm,97.8,Hull,40.3,21039.8,18164.4,140.3,,,FALSE,0.0,0.0,No weather
2017-11-24 00:23:30,2017-11-24 08:45:08,96%,84%,0,9875,No alarm,100.2,Hull,21.5,30097.8,24479.6,3310.8,,,FALSE,0.0,0.0,No weather
2017-11-25 00:55:41,2017-11-25 09:53:55,100%,85%,0,6907,No alarm,100.8,Hull,19.4,32294.2,25404.7,1507.1,,,FALSE,0.0,0.0,No weather
2017-11-26 03:51:49,2017-11-26 11:00:18,67%,77%,0,7973,No alarm,101.5,Hull,56.5,25709.3,22024.3,2142.4,,,FALSE,0.0,0.0,No weather
2017-11-27 01:20:10,2017-11-27 09:30:26,77%,73%,0,1899,No alarm,100.9,Hull,56.4,29416.3,22552.5,3137.7,,,FALSE,0.0,0.0,No weather
2017-11-28 01:18:32,2017-11-28 08:02:12,74%,73%,0,6136,No alarm,100.3,Hull,30.7,24220.7,19538.0,1049.6,,,FALSE,0.0,0.0,No weather
2017-11-30 03:03:47,2017-11-30 11:36:09,80%,72%,0,8637,No alarm,100.8,Bangor,57.5,30742.8,26541.3,1742.1,,,FALSE,0.0,0.0,No weather
2017-12-01 00:11:06,2017-12-01 09:22:55,76%,57%,0,2547,No alarm,101.3,Bangor,74.6,33109.0,26928.6,1434.7,,,FALSE,0.0,0.0,No weather
2017-12-02 02:54:09,2017-12-02 10:15:08,43%,64%,0,3492,No alarm,102.3,Hull,167.8,26459.6,22578.9,176.4,,,FALSE,0.0,0.0,No weather
2017-12-05 01:03:26,2017-12-05 07:53:01,74%,65%,0,7205,No alarm,103.0,Hull,34.9,24575.7,20315.9,1310.7,,,FALSE,0.0,0.0,No weather
2017-12-06 00:27:33,2017-12-06 07:35:02,80%,93%,0,5855,No alarm,102.5,Hull,22.1,25648.9,22998.5,1367.9,,,FALSE,0.0,0.0,No weather
2017-12-07 00:12:54,2017-12-07 07:35:09,83%,95%,0,3822,No alarm,100.5,Hull,20.8,26534.5,21404.5,2034.3,,,FALSE,0.0,0.0,No weather
2017-12-07 23:36:30,2017-12-08 07:04:34,78%,94%,0,3861,No alarm,100.4,Hull,41.7,26884.3,21955.5,1433.8,,,FALSE,0.0,0.0,No weather
2017-12-08 23:38:40,2017-12-09 09:25:15,95%,90%,0,3463,No alarm,101.2,Hull,38.7,35195.0,28390.6,1173.2,,,FALSE,0.0,0.0,No weather
2017-12-10 23:08:27,2017-12-11 07:00:49,86%,78%,0,8792,Normal,98.0,Hull,30.9,28342.1,23996.3,1228.2,2017-12-11 06:30:00,2017-12-11 07:00:00,FALSE,0.0,0.8,Fair
2017-12-11 23:27:53,2017-12-12 07:15:30,81%,86%,0,4863,Normal,99.5,Hull,43.3,28057.3,22352.4,1028.8,2017-12-12 06:45:00,2017-12-12 07:15:00,FALSE,0.0,-1.6,Partly cloudy
2017-12-12 23:04:26,2017-12-13 07:00:12,82%,95%,0,8156,Normal,99.7,Hull,44.2,28545.8,25120.3,1617.6,2017-12-13 06:30:00,2017-12-13 07:00:00,FALSE,0.0,3.8,Cloudy
2017-12-13 23:29:07,2017-12-14 06:58:25,81%,95%,0,4097,Normal,98.3,Hull,32.4,26958.3,21836.2,1527.6,2017-12-14 06:30:00,2017-12-14 07:00:00,FALSE,0.0,1.8,Cloudy
2017-12-15 00:46:23,2017-12-15 07:58:42,77%,91%,0,3554,Normal,98.3,Hull,36.9,25938.9,20664.6,1642.8,2017-12-15 07:30:00,2017-12-15 08:00:00,FALSE,0.0,2.7,Partly cloudy
2017-12-16 01:06:30,2017-12-16 10:22:11,90%,85%,0,12279,No alarm,100.8,Hull,51.5,33340.9,32229.5,222.3,,,FALSE,0.0,0.0,No weather
2017-12-17 01:34:34,2017-12-17 08:38:38,75%,80%,0,4844,No alarm,101.9,Hull,37.6,25443.7,24086.7,169.6,,,FALSE,0.0,0.0,No weather
2017-12-18 00:16:36,2017-12-18 06:59:29,75%,78%,0,1019,Normal,101.9,Hull,24.3,24172.5,21916.4,2256.1,2017-12-18 06:30:00,2017-12-18 07:00:00,FALSE,0.0,0.8,Partly cloudy
2017-12-19 00:32:43,2017-12-19 07:43:19,79%,83%,0,2966,Normal,102.8,Hull,26.8,25836.5,21013.7,947.3,2017-12-19 07:15:00,2017-12-19 07:45:00,FALSE,0.0,3.2,Partly cloudy
2017-12-20 00:19:57,2017-12-20 08:56:07,88%,85%,0,1455,No alarm,102.9,Hull,44.8,30969.9,24156.5,206.5,,,FALSE,0.0,0.0,No weather
2017-12-21 00:54:03,2017-12-21 09:03:13,71%,91%,0,3019,No alarm,103.2,Hull,78.9,29349.7,24360.3,1369.7,,,FALSE,0.0,0.0,No weather
2017-12-22 02:43:36,2017-12-22 09:08:20,57%,89%,0,1828,No alarm,102.9,Hull,78.1,23084.3,20006.4,153.9,,,FALSE,0.0,0.0,No weather
2017-12-23 00:39:52,2017-12-23 11:11:40,96%,81%,0,296,No alarm,102.7,Bangor,37.7,37907.5,33358.6,252.7,,,FALSE,0.0,0.0,No weather
2017-12-24 00:54:19,2017-12-24 08:21:18,71%,75%,0,1729,No alarm,101.8,Bangor,62.1,26819.3,23958.6,804.6,,,FALSE,0.0,0.0,No weather
2017-12-25 02:17:18,2017-12-25 09:43:17,79%,72%,0,690,No alarm,99.9,Bangor,37.1,26758.6,22388.0,1337.9,,,FALSE,0.0,0.0,No weather
2017-12-26 02:16:50,2017-12-26 11:29:16,72%,79%,0,239,No alarm,98.6,Bangor,97.8,33146.4,29168.8,221.0,,,FALSE,0.0,0.0,No weather
2017-12-27 02:33:51,2017-12-27 09:29:33,61%,81%,0,4354,No alarm,98.0,Bangor,80.4,24941.7,21948.7,1496.5,,,FALSE,0.0,0.0,No weather
2017-12-28 01:23:13,2017-12-28 08:37:13,74%,83%,0,2239,No alarm,99.3,Bangor,47.7,26039.6,21439.3,173.6,,,FALSE,0.0,0.0,No weather
2017-12-29 02:27:43,2017-12-29 09:34:30,82%,82%,0,22539,No alarm,98.8,Bangor,18.1,25606.6,23046.0,1024.3,,,FALSE,0.0,0.0,No weather
2017-12-29 21:55:01,2017-12-30 04:04:33,41%,61%,0,3278,No alarm,98.2,Manchester,140.6,22172.6,17885.9,4286.7,,,FALSE,0.0,0.0,No weather
2017-12-31 02:58:10,2017-12-31 07:09:40,25%,44%,0,12445,No alarm,82.5,Bourg-Saint-Maurice,178.3,15090.3,11518.9,1760.5,,,FALSE,0.0,0.0,No weather
2018-01-07 00:54:58,2018-01-07 07:39:33,75%,0%,0,11641,No alarm,82.2,Mont-de-Lans,28.2,24275.6,24113.7,161.8,,,FALSE,0.0,0.0,No weather
2018-01-08 02:36:03,2018-01-08 11:13:09,69%,56%,0,16913,No alarm,82.7,Mont-de-Lans,118.2,31025.9,28440.4,206.8,,,FALSE,0.0,0.0,No weather
2018-01-09 01:33:23,2018-01-09 11:42:26,62%,72%,0,6923,No alarm,82.4,Mont-de-Lans,163.9,36543.4,33863.6,243.6,,,FALSE,0.0,0.0,No weather
2018-01-10 00:20:44,2018-01-10 06:17:16,38%,63%,0,10758,No alarm,82.7,Mont-de-Lans,191.2,21391.8,20108.3,1283.5,,,FALSE,0.0,0.0,No weather
2018-01-11 03:04:34,2018-01-11 10:19:16,76%,59%,0,12632,No alarm,82.3,Mont-de-Lans,50.1,26081.2,22864.5,173.9,,,FALSE,0.0,0.0,No weather
2018-01-12 23:54:54,2018-01-13 08:13:03,80%,50%,0,9094,No alarm,83.2,Mont-de-Lans,78.1,29888.9,25206.3,1295.2,,,FALSE,0.0,0.0,No weather
2018-01-14 00:48:48,2018-01-14 11:22:28,97%,61%,0,3571,No alarm,100.8,Bangor,39.5,38020.2,33584.5,253.5,,,FALSE,0.0,0.0,No weather
2018-01-15 01:05:09,2018-01-15 08:24:34,49%,70%,0,1396,No alarm,100.1,Hull,195.0,26365.0,20564.7,2548.6,,,FALSE,0.0,0.0,No weather
2018-01-16 01:50:26,2018-01-16 09:42:53,81%,74%,0,2672,No alarm,98.7,Hull,136.7,28347.7,20977.3,189.0,,,FALSE,0.0,0.0,No weather
2018-01-17 00:54:20,2018-01-17 12:13:05,93%,76%,0,381,No alarm,99.0,Hull,58.0,40725.3,35838.3,271.5,,,FALSE,0.0,0.0,No weather
2018-01-18 03:58:16,2018-01-18 09:12:54,55%,68%,0,3115,No alarm,97.9,Hull,53.4,18878.0,14724.8,1195.6,,,FALSE,0.0,0.0,No weather
2018-01-19 01:33:50,2018-01-19 12:35:26,96%,58%,0,6378,No alarm,100.0,Bangor,34.4,39695.9,37446.5,264.6,,,FALSE,0.0,0.0,No weather
2018-01-20 00:50:42,2018-01-20 12:04:42,94%,64%,0,1626,No alarm,99.9,Bangor,67.1,40440.9,38014.5,269.6,,,FALSE,0.0,0.0,No weather
2018-01-21 02:26:34,2018-01-21 11:03:56,78%,73%,0,1630,No alarm,100.7,Bangor,157.6,31042.8,27938.5,207.0,,,FALSE,0.0,0.0,No weather
2018-01-21 22:41:24,2018-01-22 05:18:50,68%,63%,0,797,No alarm,100.1,Bangor,99.6,23845.7,20904.8,159.0,,,FALSE,0.0,0.0,No weather
2018-01-23 00:56:38,2018-01-23 07:22:18,72%,54%,0,6577,No alarm,101.4,Hull,28.3,23140.7,18281.2,2082.7,,,FALSE,0.0,0.0,No weather
2018-01-23 23:32:10,2018-01-24 09:58:44,99%,50%,0,2521,No alarm,100.7,Hull,40.4,37594.8,35464.4,250.6,,,FALSE,0.0,0.0,No weather
2018-01-25 00:18:11,2018-01-25 07:27:39,80%,68%,0,5116,No alarm,100.2,Hull,40.6,25768.7,24394.3,171.8,,,FALSE,0.0,0.0,No weather
2018-01-26 00:36:18,2018-01-26 07:24:15,74%,79%,0,6824,No alarm,100.9,Hull,47.6,24477.6,18113.4,1876.6,,,FALSE,0.0,0.0,No weather
2018-01-27 00:26:36,2018-01-27 09:44:56,98%,83%,0,4258,No alarm,102.5,Hull,46.1,33500.4,29033.7,223.3,,,FALSE,0.0,0.0,No weather
2018-01-28 02:54:24,2018-01-28 09:29:31,68%,84%,0,3871,No alarm,102.3,Hull,68.1,23707.3,19756.1,948.3,,,FALSE,0.0,0.0,No weather
2018-01-28 23:22:33,2018-01-29 06:30:20,79%,67%,0,6720,Normal,102.8,London,39.3,25667.1,21218.2,1796.7,2018-01-29 07:30:00,2018-01-29 08:00:00,FALSE,0.0,0.0,No weather
2018-01-29 23:28:03,2018-01-30 07:43:26,92%,71%,0,6913,No alarm,103.0,London,36.8,29722.5,24570.6,1783.4,,,FALSE,0.0,0.0,No weather
2018-01-31 00:24:00,2018-01-31 07:11:42,73%,74%,0,8697,No alarm,101.0,London,47.6,24461.1,21281.2,163.1,,,FALSE,0.0,0.0,No weather
2018-02-01 01:11:34,2018-02-01 08:13:47,78%,87%,0,12016,No alarm,99.7,London,37.9,25333.2,20857.7,1266.7,,,FALSE,0.0,0.0,No weather
2018-02-02 01:14:59,2018-02-02 08:03:26,72%,90%,0,7109,No alarm,100.6,London,50.5,24506.9,20667.5,163.4,,,FALSE,0.0,0.0,No weather
2018-02-04 02:03:22,2018-02-04 09:47:10,88%,88%,0,3704,No alarm,102.0,Hull,28.8,27827.9,24117.5,1298.6,,,FALSE,0.0,0.0,No weather
2018-02-04 22:34:30,2018-02-05 07:19:22,96%,65%,0,3049,No alarm,103.2,Hull,37.2,31491.8,26243.1,1154.7,,,FALSE,0.0,0.0,No weather
2018-02-06 00:23:48,2018-02-06 08:33:52,86%,62%,0,6931,No alarm,102.3,Hull,52.5,29404.7,26660.2,196.0,,,FALSE,0.0,0.0,No weather
2018-02-07 00:06:23,2018-02-07 07:45:31,73%,72%,0,4066,No alarm,101.9,Hull,78.0,27547.2,22405.1,1377.4,,,FALSE,0.0,0.0,No weather
2018-02-08 01:04:10,2018-02-08 10:05:42,98%,79%,0,3435,No alarm,101.8,Hull,42.9,32492.2,28268.2,216.6,,,FALSE,0.0,0.0,No weather
2018-02-09 01:09:46,2018-02-09 08:59:58,74%,84%,0,2074,No alarm,100.4,Hull,79.3,28211.7,23321.7,1034.4,,,FALSE,0.0,0.0,No weather
2018-02-10 01:16:33,2018-02-10 10:12:53,78%,84%,0,6567,No alarm,101.6,Hull,102.7,32180.4,28211.4,1287.2,,,FALSE,0.0,0.0,No weather
2018-02-11 01:48:04,2018-02-11 09:56:55,96%,91%,0,3252,No alarm,98.8,Hull,19.0,29331.3,25811.5,2346.5,,,FALSE,0.0,0.0,No weather
2018-02-11 22:48:21,2018-02-12 07:03:21,60%,78%,0,852,No alarm,100.7,Hull,155.6,29700.0,23463.0,4653.0,,,FALSE,0.0,0.0,No weather
2018-02-13 00:29:47,2018-02-13 07:08:20,79%,77%,0,3865,No alarm,100.5,Hull,13.6,23913.1,18652.2,2789.9,,,FALSE,0.0,0.0,No weather
2018-02-13 22:10:30,2018-02-14 08:04:22,85%,70%,0,5853,No alarm,100.5,Hull,85.7,35631.6,31118.3,2731.8,,,FALSE,0.0,0.0,No weather
2018-02-15 00:25:17,2018-02-15 07:58:17,87%,80%,0,4057,No alarm,99.7,Hull,22.9,27180.1,25005.7,1540.2,,,FALSE,0.0,0.0,No weather
2018-02-15 23:34:59,2018-02-16 07:47:50,73%,82%,0,6361,No alarm,101.5,Hull,105.8,29571.5,25825.8,197.1,,,FALSE,0.0,0.0,No weather
2018-02-16 23:38:21,2018-02-17 08:46:36,83%,88%,0,2879,No alarm,102.2,Hull,94.2,32895.0,25767.8,986.9,,,FALSE,0.0,0.0,No weather
2018-02-18 00:25:18,2018-02-18 09:12:18,95%,91%,0,3001,No alarm,102.2,Hull,47.5,31619.4,27192.7,3267.3,,,FALSE,0.0,0.0,No weather
2018-02-18 23:48:17,2018-02-19 06:52:24,77%,86%,0,3092,No alarm,101.8,Hull,41.7,25447.2,20103.3,2205.4,,,FALSE,0.0,0.0,No weather
2018-02-20 01:08:20,2018-02-20 08:14:03,83%,81%,0,5467,No alarm,101.8,Hull,18.4,25542.4,22988.2,936.6,,,FALSE,0.0,0.0,No weather
2018-02-21 02:44:39,2018-02-21 08:31:07,69%,79%,0,4256,No alarm,102.8,Hull,10.9,20787.7,16768.7,1732.3,,,FALSE,0.0,0.0,No weather
2018-02-22 00:32:30,2018-02-22 07:23:27,71%,78%,0,6008,No alarm,102.7,Hull,58.1,24656.8,19478.9,1561.6,,,FALSE,0.0,0.0,No weather
2018-02-23 01:21:58,2018-02-23 09:18:06,74%,78%,0,7939,No alarm,102.5,Hull,88.6,28568.0,24473.3,952.3,,,FALSE,0.0,0.0,No weather
